dateTime,latitude,longitude,PRES,TEMP,RVFL,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT
2024-08-29T05-50-00Z,45.7616667,13.4963333,12.05,27.3,14.39,1,10.9,-0.006,0.799,0.174,2,10.4,0.034,-0.116,0.242,3,9.9,0.252,-0.039,-0.111,4,9.4,0.131,0.818,-0.443,5,8.9,-0.185,0.154,0.274,6,8.4,-0.024,-0.211,0.269,7,7.9,0.015,-0.064,0.033,8,7.4,-0.002,-0.141,0.061,9,6.9,-0.033,-0.134,0.031,10,6.4,-0.04,-0.098,-0.073,11,5.9,-0.041,-0.042,-0.017,12,5.4,-0.064,0.186,0.113,13,4.9,0.031,0.004,0.199,14,4.4,-0.006,0.1,0.1,15,3.9,-0.061,0.183,0.005,16,3.4,-0.048,0.183,0.089,17,2.9,-0.022,0.036,0.078,18,2.4,0.001,-0.061,0.052,19,1.9,-0.039,0.078,-0.027,20,1.4,-0.007,0.205,-0.102,21,0.9,-0.001,0.076,-0.09,22,0.4,-0.004,0.067,-0.145
2024-08-29T06-00-00Z,45.7616667,13.4963333,12.07,27.3,9.94,1,10.92,0.007,0.769,0.233,2,10.42,0.04,-0.053,0.356,3,9.92,0.263,0.006,-0.061,4,9.42,0.174,0.68,-0.401,5,8.92,-0.108,-0.063,0.268,6,8.42,-0.029,-0.185,0.228,7,7.92,-0.02,0.011,0.022,8,7.42,-0.009,-0.074,0.08,9,6.92,-0.04,-0.17,0.003,10,6.42,-0.042,-0.042,-0.086,11,5.92,-0.018,-0.162,-0.087,12,5.42,-0.07,0.097,-0.029,13,4.92,0.015,0.03,0.149,14,4.42,-0.019,0.073,0.08,15,3.92,-0.065,0.091,0.03,16,3.42,-0.039,0.125,0.154,17,2.92,-0.015,0.001,0.055,18,2.42,-0.012,-0.045,0.082,19,1.92,-0.039,0.104,-0.012,20,1.42,0,0.222,-0.085,21,0.92,-0.007,0.096,-0.094,22,0.42,-0.008,0.066,-0.076
2024-08-29T06-10-00Z,45.7616667,13.4963333,12.09,27.3,8.74,1,10.94,0.032,0.717,0.206,2,10.44,0.037,-0.083,0.343,3,9.94,0.285,0.017,-0.056,4,9.44,0.174,0.736,-0.405,5,8.94,-0.167,0.012,0.317,6,8.44,-0.024,-0.174,0.258,7,7.94,0.012,-0.055,0.002,8,7.44,0.007,-0.125,0.069,9,6.94,-0.023,-0.238,-0.017,10,6.44,-0.029,-0.177,-0.099,11,5.94,-0.036,-0.115,-0.051,12,5.44,-0.069,0.105,-0.093,13,4.94,0.008,-0.057,0.075,14,4.44,0.002,0.007,0.111,15,3.94,-0.051,0.06,0.059,16,3.44,-0.063,0.134,0.03,17,2.94,-0.017,0.017,0.068,18,2.44,-0.027,-0.067,0.057,19,1.94,-0.053,0.056,-0.047,20,1.44,-0.013,0.154,-0.177,21,0.94,-0.01,0.02,-0.035,22,0.44,-0.003,0.06,-0.055
2024-08-29T06-20-00Z,45.7616667,13.4963333,12.11,27.3,8.31,1,10.95,0.054,0.703,0.25,2,10.45,0.055,-0.116,0.355,3,9.95,0.284,-0.002,-0.133,4,9.45,0.104,0.939,-0.412,5,8.95,-0.175,0.158,0.33,6,8.45,-0.028,-0.193,0.215,7,7.95,-0.014,0.049,0.07,8,7.45,-0.002,-0.049,0.103,9,6.95,-0.015,-0.095,0.046,10,6.45,-0.033,-0.012,0.017,11,5.95,-0.012,-0.169,-0.104,12,5.45,-0.065,-0.007,-0.137,13,4.95,0.007,0.034,0.086,14,4.45,-0.002,0.036,0.041,15,3.95,-0.055,0.115,-0.015,16,3.45,-0.063,0.111,0.051,17,2.95,-0.008,-0.038,0.087,18,2.45,-0.023,-0.082,0.043,19,1.95,-0.035,0.044,-0.012,20,1.45,0.003,0.177,-0.15,21,0.95,-0.005,0.045,-0.016,22,0.45,-0.008,0.027,-0.048
2024-08-29T06-30-00Z,45.7616667,13.4963333,12.12,27.3,7.17,1,10.96,0.056,0.729,0.247,2,10.46,0.046,-0.144,0.351,3,9.96,0.281,0.023,-0.142,4,9.46,0.121,0.865,-0.411,5,8.96,-0.184,0.153,0.245,6,8.46,-0.025,-0.206,0.312,7,7.96,-0.016,0.094,0.081,8,7.46,-0.02,-0.035,0.055,9,6.96,-0.029,-0.101,-0.033,10,6.46,-0.016,-0.167,-0.057,11,5.96,-0.043,-0.009,-0.069,12,5.46,-0.075,-0.03,-0.17,13,4.96,-0.012,-0.035,0.055,14,4.46,0.001,-0.015,0.097,15,3.96,-0.047,0.06,0.029,16,3.46,-0.068,0.203,0.014,17,2.96,-0.018,0.042,0.097,18,2.46,-0.009,-0.061,0.063,19,1.96,-0.024,0.046,-0.009,20,1.46,-0.01,0.111,-0.119,21,0.96,-0.011,0.057,-0.019,22,0.46,0,0.065,-0.072
2024-08-29T06-40-00Z,45.7616667,13.4963333,12.13,27.3,5.51,1,10.97,0.037,0.663,0.19,2,10.47,0.025,-0.188,0.239,3,9.97,0.289,0.021,-0.125,4,9.47,0.124,0.9,-0.429,5,8.97,-0.145,0.067,0.296,6,8.47,-0.025,-0.204,0.287,7,7.97,0.005,-0.004,0.02,8,7.47,0.013,-0.12,0.05,9,6.97,-0.014,-0.134,-0.007,10,6.47,-0.027,-0.101,-0.098,11,5.97,-0.054,-0.092,-0.137,12,5.47,-0.039,-0.013,-0.039,13,4.97,-0.012,-0.05,0.016,14,4.47,0.011,0.074,0.186,15,3.97,-0.057,0.123,0.057,16,3.47,-0.066,0.162,0.058,17,2.97,-0.015,-0.043,0.06,18,2.47,-0.005,-0.062,0.026,19,1.97,-0.047,0.069,-0.005,20,1.47,-0.001,0.076,-0.098,21,0.97,-0.015,0.084,-0.049,22,0.47,-0.017,0.087,-0.069
2024-08-29T06-50-00Z,45.7616667,13.4963333,12.14,27.3,16.8,1,10.98,0.045,0.627,0.167,2,10.48,0.044,-0.172,0.268,3,9.98,0.27,-0.003,-0.158,4,9.48,0.107,0.883,-0.404,5,8.98,-0.148,0.151,0.227,6,8.48,-0.025,-0.187,0.261,7,7.98,0.009,-0.092,-0.016,8,7.48,0.015,-0.168,0.059,9,6.98,-0.05,-0.081,-0.003,10,6.48,-0.073,0.065,-0.101,11,5.98,-0.016,-0.219,-0.159,12,5.48,-0.013,-0.026,-0.022,13,4.98,0.009,0.067,0.192,14,4.48,-0.009,0.021,0.067,15,3.98,-0.056,0.072,0.115,16,3.48,-0.037,0.155,0.055,17,2.98,-0.012,0.01,0.023,18,2.48,-0.016,0.01,0.026,19,1.98,-0.059,0.1,-0.028,20,1.48,-0.006,0.081,-0.109,21,0.98,-0.008,0.095,-0.118,22,0.48,-0.006,0.059,-0.14
2024-08-29T07-00-00Z,45.7616667,13.4963333,12.14,27.3,17.46,1,10.98,0.028,0.726,0.213,2,10.48,0.04,-0.181,0.284,3,9.98,0.294,-0.003,-0.096,4,9.48,0.16,0.787,-0.426,5,8.98,-0.138,0.025,0.31,6,8.48,-0.016,-0.193,0.242,7,7.98,0.003,-0.114,0.033,8,7.48,0.013,-0.106,0.049,9,6.98,-0.012,-0.152,-0.018,10,6.48,-0.009,-0.159,-0.095,11,5.98,-0.036,-0.192,-0.147,12,5.48,-0.057,-0.004,-0.113,13,4.98,0.004,-0.015,0.074,14,4.48,0.002,0.008,0.092,15,3.98,-0.055,0.06,0.089,16,3.48,-0.057,0.139,0.041,17,2.98,-0.015,-0.047,0.035,18,2.48,0,-0.009,0.088,19,1.98,-0.035,0.028,-0.018,20,1.48,0.008,0.123,-0.104,21,0.98,-0.002,0.085,-0.165,22,0.48,0.003,0.08,-0.177
2024-08-29T07-10-00Z,45.7616667,13.4963333,12.14,27.3,22.75,1,10.98,0.021,0.742,0.224,2,10.48,0.023,-0.225,0.256,3,9.98,0.267,-0.044,-0.076,4,9.48,0.118,0.889,-0.461,5,8.98,-0.141,0.104,0.277,6,8.48,-0.042,-0.23,0.261,7,7.98,0,-0.073,0.037,8,7.48,0.015,-0.094,0.056,9,6.98,-0.017,-0.223,-0.028,10,6.48,0.01,-0.19,-0.094,11,5.98,-0.039,-0.201,-0.181,12,5.48,-0.033,-0.032,-0.067,13,4.98,-0.01,-0.076,0.007,14,4.48,-0.006,0.069,0.087,15,3.98,-0.065,0.164,0.027,16,3.48,-0.053,0.128,0.012,17,2.98,0.003,-0.011,0.04,18,2.48,-0.018,-0.04,0.038,19,1.98,-0.021,0.008,-0.065,20,1.48,0,0.276,-0.174,21,0.98,-0.014,0.051,-0.044,22,0.48,0.01,0.076,-0.142
2024-08-29T07-20-00Z,45.7616667,13.4963333,12.15,27.3,16.16,1,10.99,0.043,0.675,0.211,2,10.49,0.02,-0.221,0.244,3,9.99,0.269,-0.063,-0.152,4,9.49,0.092,0.944,-0.421,5,8.99,-0.185,0.143,0.31,6,8.49,-0.039,-0.209,0.302,7,7.99,-0.021,0.036,0.044,8,7.49,-0.003,-0.078,0.123,9,6.99,-0.032,-0.125,-0.01,10,6.49,-0.009,-0.13,-0.03,11,5.99,-0.024,-0.194,-0.114,12,5.49,-0.066,-0.114,-0.148,13,4.99,-0.026,-0.071,-0.058,14,4.49,-0.022,0.044,0.071,15,3.99,-0.095,0.164,0.038,16,3.49,-0.075,0.163,0.025,17,2.99,-0.013,0.025,0.065,18,2.49,-0.024,0.042,0.037,19,1.99,-0.035,0.082,-0.038,20,1.49,0.021,0.168,-0.158,21,0.99,-0.011,0.001,-0.059,22,0.49,-0.02,0.011,-0.073
2024-08-29T07-30-00Z,45.7616667,13.4963333,12.14,27.29,26.73,1,10.98,0.056,0.709,0.155,2,10.48,0.027,-0.172,0.285,3,9.98,0.277,-0.051,-0.043,4,9.48,0.114,0.968,-0.435,5,8.98,-0.17,0.154,0.315,6,8.48,-0.026,-0.261,0.315,7,7.98,-0.03,0.106,0.025,8,7.48,0,-0.05,0.01,9,6.98,-0.015,-0.164,0.012,10,6.48,-0.007,-0.081,-0.001,11,5.98,-0.026,-0.149,-0.124,12,5.48,-0.049,-0.057,-0.077,13,4.98,-0.013,0,0.049,14,4.48,-0.013,0.085,0.095,15,3.98,-0.111,0.145,-0.039,16,3.48,-0.064,0.143,-0.007,17,2.98,-0.012,-0.011,0.014,18,2.48,-0.02,0.019,0.005,19,1.98,-0.032,0.083,-0.037,20,1.48,-0.015,0.18,-0.109,21,0.98,0.009,0.093,-0.167,22,0.48,0.006,0.04,-0.158
2024-08-29T07-40-00Z,45.7616667,13.4963333,12.14,27.29,28.04,1,10.98,0.031,0.723,0.122,2,10.48,0.016,-0.18,0.248,3,9.98,0.27,-0.064,-0.116,4,9.48,0.084,0.969,-0.472,5,8.98,-0.193,0.188,0.311,6,8.48,-0.037,-0.23,0.321,7,7.98,-0.031,0.076,0.064,8,7.48,-0.023,0.022,0.081,9,6.98,-0.008,-0.107,0.004,10,6.48,0.034,-0.209,-0.032,11,5.98,-0.031,-0.155,-0.136,12,5.48,-0.068,0.136,0.002,13,4.98,-0.008,0.021,0.067,14,4.48,-0.003,0.071,0.052,15,3.98,-0.074,0.145,0.013,16,3.48,-0.069,0.227,-0.004,17,2.98,-0.013,-0.025,0.011,18,2.48,-0.023,0.043,0.003,19,1.98,-0.039,0.059,-0.046,20,1.48,0.023,0.121,-0.18,21,0.98,-0.015,0.051,-0.175,22,0.48,-0.016,0.101,-0.211
2024-08-29T07-50-00Z,45.7616667,13.4963333,12.14,27.29,23.15,1,10.98,0.007,0.833,0.205,2,10.48,0.031,-0.144,0.271,3,9.98,0.256,-0.078,-0.162,4,9.48,0.095,0.913,-0.428,5,8.98,-0.153,0.259,0.246,6,8.48,-0.03,-0.139,0.259,7,7.98,-0.016,0.035,0.09,8,7.48,-0.014,-0.017,0.072,9,6.98,-0.051,0.026,0.046,10,6.48,0.008,-0.151,-0.018,11,5.98,-0.003,-0.152,-0.02,12,5.48,-0.065,0.085,-0.044,13,4.98,-0.026,-0.003,0.045,14,4.48,-0.031,0.07,0.039,15,3.98,-0.076,0.131,0.038,16,3.48,-0.099,0.263,0.017,17,2.98,0.008,-0.028,0.023,18,2.48,-0.038,0.078,0.044,19,1.98,-0.035,0.08,-0.042,20,1.48,-0.003,0.127,-0.112,21,0.98,-0.021,0.118,-0.098,22,0.48,-0.018,0.059,-0.226
2024-08-29T08-00-00Z,45.7616667,13.4963333,12.14,27.29,21.16,1,10.98,0.021,0.612,0.147,2,10.48,0.008,-0.194,0.287,3,9.98,0.287,-0.041,-0.147,4,9.48,0.088,0.955,-0.447,5,8.98,-0.171,0.192,0.241,6,8.48,-0.029,-0.175,0.274,7,7.98,-0.014,0.1,0.05,8,7.48,-0.023,0.035,0.08,9,6.98,-0.049,0.061,0.019,10,6.48,-0.005,-0.051,-0.029,11,5.98,0.03,-0.353,-0.106,12,5.48,-0.062,0.134,0.034,13,4.98,-0.019,-0.014,0.01,14,4.48,-0.02,-0.004,0.078,15,3.98,-0.068,0.12,0.062,16,3.48,-0.075,0.094,0.013,17,2.98,-0.012,-0.089,0.064,18,2.48,-0.023,-0.012,0.019,19,1.98,-0.024,0.036,-0.044,20,1.48,-0.011,0.168,-0.126,21,0.98,-0.011,0.117,-0.125,22,0.48,-0.016,0.153,-0.169
2024-08-29T08-10-00Z,45.7616667,13.4963333,12.14,27.29,19.13,1,10.98,0.07,0.557,0.236,2,10.48,0.025,-0.207,0.443,3,9.98,0.281,-0.038,-0.242,4,9.48,0.091,0.87,-0.49,5,8.98,-0.159,0.239,0.154,6,8.48,-0.049,-0.222,0.29,7,7.98,-0.009,-0.013,0.05,8,7.48,-0.005,-0.018,0.089,9,6.98,-0.004,-0.066,0.096,10,6.48,0.024,-0.125,0.027,11,5.98,0.014,-0.249,-0.024,12,5.48,0,0.09,0.144,13,4.98,-0.012,-0.021,0.034,14,4.48,-0.003,-0.009,0.039,15,3.98,-0.056,0.124,-0.021,16,3.48,-0.053,0.172,0.003,17,2.98,-0.005,-0.141,-0.044,18,2.48,-0.014,-0.027,0.006,19,1.98,-0.036,0.038,-0.06,20,1.48,0.002,0.122,-0.111,21,0.98,-0.006,0.076,-0.144,22,0.48,-0.017,0.058,-0.185
2024-08-29T08-20-00Z,45.7616667,13.4963333,12.13,27.29,24.25,1,10.97,0.035,0.502,0.123,2,10.47,0.011,-0.193,0.159,3,9.97,0.29,-0.087,-0.124,4,9.47,0.147,0.764,-0.469,5,8.97,-0.106,-0.077,0.249,6,8.47,0.002,-0.241,0.2,7,7.97,0.024,-0.132,0.03,8,7.47,0.025,-0.157,0.076,9,6.97,0.021,-0.166,0.105,10,6.47,0.012,-0.164,0.056,11,5.97,-0.024,-0.159,-0.078,12,5.47,-0.04,-0.048,-0.044,13,4.97,-0.006,-0.086,-0.041,14,4.47,-0.021,0,0.03,15,3.97,-0.054,0.059,-0.023,16,3.47,-0.056,0.218,0.059,17,2.97,-0.016,-0.113,-0.047,18,2.47,-0.035,0.048,-0.016,19,1.97,-0.044,0.111,-0.041,20,1.47,-0.003,0.196,-0.134,21,0.97,0.001,0.072,-0.132,22,0.47,-0.011,0.077,-0.212
2024-08-29T08-30-00Z,45.7616667,13.4963333,12.13,27.29,23.94,1,10.97,0.039,0.581,0.146,2,10.47,0.018,-0.192,0.271,3,9.97,0.271,-0.095,-0.142,4,9.47,0.087,0.961,-0.497,5,8.97,-0.161,0.171,0.285,6,8.47,-0.032,-0.202,0.335,7,7.97,0,-0.001,0.046,8,7.47,0.007,-0.071,0.041,9,6.97,-0.011,-0.045,0.123,10,6.47,0.034,-0.139,0.062,11,5.97,-0.032,-0.175,-0.089,12,5.47,-0.018,-0.032,-0.001,13,4.97,-0.002,-0.011,0.026,14,4.47,-0.01,0.012,0.08,15,3.97,-0.038,0.076,0.033,16,3.47,-0.064,0.283,0.108,17,2.97,-0.024,-0.047,-0.022,18,2.47,-0.026,0.046,0.021,19,1.97,-0.041,0.058,-0.041,20,1.47,-0.022,0.131,-0.127,21,0.97,-0.01,0.084,-0.155,22,0.47,0.013,0.093,-0.191
2024-08-29T08-40-00Z,45.7616667,13.4963333,12.11,27.29,24.88,1,10.95,-0.011,0.511,0.083,2,10.45,0.006,-0.15,0.257,3,9.95,0.22,-0.137,-0.296,4,9.45,0.092,0.703,-0.578,5,8.95,-0.033,-0.151,0.162,6,8.45,-0.003,-0.29,0.188,7,7.95,0.042,-0.147,0.024,8,7.45,0.013,-0.173,0.074,9,6.95,0.006,-0.176,0.054,10,6.45,0.039,-0.219,0.04,11,5.95,0,-0.23,-0.022,12,5.45,0.015,-0.053,0.084,13,4.95,-0.006,-0.094,-0.035,14,4.45,-0.013,-0.03,0.016,15,3.95,-0.045,0.116,0.037,16,3.45,-0.072,0.242,0.112,17,2.95,-0.018,-0.023,-0.019,18,2.45,-0.021,0.039,0.039,19,1.95,-0.07,0.15,-0.039,20,1.45,0,0.192,-0.146,21,0.95,-0.007,0.151,-0.184,22,0.45,-0.021,0.147,-0.184
